M=4000000 maxN=5031
n=1 m=8 L=2 fac=2^3 
n=3 m=9 L=3 fac=3^2 
n=4 m=21 L=4 fac=3^1 7^1
n=5 m=27 L=5 fac=3^3 
n=6 m=39 L=6 fac=3^1 13^1
n=7 m=49 L=7 fac=7^2 
n=8 m=87 L=10 fac=3^1 29^1
n=11 m=141 L=15 fac=3^1 47^1
n=16 m=219 L=16 fac=3^1 73^1
n=17 m=309 L=20 fac=3^1 103^1
n=21 m=343 L=22 fac=7^3 
n=23 m=453 L=25 fac=3^1 151^1
n=26 m=597 L=26 fac=3^1 199^1
n=27 m=669 L=28 fac=3^1 223^1
n=29 m=813 L=31 fac=3^1 271^1
n=32 m=843 L=40 fac=3^1 281^1
n=41 m=1059 L=42 fac=3^1 353^1
n=43 m=1371 L=51 fac=3^1 457^1
n=52 m=1897 L=54 fac=7^1 271^1
n=55 m=1923 L=56 fac=3^1 641^1
n=57 m=1929 L=63 fac=3^1 643^1
n=64 m=1977 L=87 fac=3^1 659^1
n=88 m=3777 L=91 fac=3^1 1259^1
n=92 m=4449 L=101 fac=3^1 1483^1
n=102 m=4593 L=112 fac=3^1 1531^1
n=113 m=5241 L=147 fac=3^1 1747^1
n=148 m=5853 L=162 fac=3^1 1951^1
n=163 m=8013 L=167 fac=3^1 2671^1
n=168 m=8859 L=190 fac=3^1 2953^1
n=191 m=12777 L=209 fac=3^1 4259^1
n=210 m=14901 L=210 fac=3^1 4967^1
n=211 m=16257 L=232 fac=3^1 5419^1
n=233 m=17517 L=238 fac=3^1 5839^1
n=239 m=19161 L=245 fac=3^2 2129^1
n=246 m=21039 L=272 fac=3^1 7013^1
n=273 m=23889 L=318 fac=3^1 7963^1
n=319 m=33783 L=349 fac=3^1 11261^1
n=350 m=37959 L=387 fac=3^1 12653^1
n=388 m=47199 L=402 fac=3^1 15733^1
n=403 m=48567 L=481 fac=3^1 16189^1
n=482 m=55101 L=516 fac=3^1 18367^1
n=517 m=57711 L=569 fac=3^1 19237^1
n=570 m=87387 L=595 fac=3^1 29129^1
n=596 m=97143 L=604 fac=3^1 32381^1
n=605 m=99483 L=673 fac=3^1 33161^1
n=674 m=99741 L=787 fac=3^1 33247^1
n=788 m=172959 L=814 fac=3^1 57653^1
n=815 m=185169 L=847 fac=3^1 61723^1
n=848 m=191469 L=850 fac=3^1 63823^1
n=851 m=200217 L=870 fac=3^1 66739^1
n=871 m=207057 L=899 fac=3^1 69019^1
n=900 m=210939 L=1172 fac=3^1 70313^1
n=1173 m=329696 L=1175 fac=2^5 10303^1
n=1176 m=348603 L=1188 fac=3^1 116201^1
n=1189 m=371919 L=1309 fac=3^1 123973^1
n=1310 m=386571 L=1349 fac=3^1 128857^1
n=1350 m=412077 L=1569 fac=3^1 137359^1
n=1570 m=485913 L=1586 fac=3^1 161971^1
n=1587 m=543729 L=1741 fac=3^1 181243^1
n=1742 m=555969 L=1753 fac=3^1 185323^1
n=1754 m=566481 L=1998 fac=3^1 188827^1
n=1999 m=647679 L=2015 fac=3^1 215893^1
n=2016 m=839823 L=2053 fac=3^1 279941^1
n=2054 m=903549 L=2098 fac=3^1 301183^1
n=2099 m=903711 L=2112 fac=3^1 301237^1
n=2113 m=913503 L=2416 fac=3^1 304501^1
n=2417 m=1009311 L=2498 fac=3^1 336437^1
n=2499 m=1073577 L=2868 fac=3^1 357859^1
n=2869 m=1259373 L=2893 fac=3^1 419791^1
n=2894 m=1463127 L=2989 fac=3^1 487709^1
n=2990 m=1591809 L=3010 fac=3^1 530603^1
n=3011 m=1813983 L=3138 fac=3^1 604661^1
n=3139 m=1847301 L=3266 fac=3^1 615767^1
n=3267 m=1871949 L=3345 fac=3^1 623983^1
n=3346 m=1995459 L=3360 fac=3^1 665153^1
n=3361 m=2196717 L=3562 fac=3^1 732239^1
n=3563 m=2314293 L=3628 fac=3^1 771431^1
n=3629 m=2634321 L=4123 fac=3^1 878107^1
n=4124 m=3195219 L=4591 fac=3^1 1065073^1
n=4592 m=3228117 L=4830 fac=3^1 1076039^1
n=4831 m=3537843 L=5031 fac=3^1 1179281^1
